day_index,theme,count,dod_change,dod_change_pct,rolling_mean_7,rolling_std_7,zscore_7
11.0,Payments & Support,6,4.0,2.0,2.5714285714285716,1.6781914463529615,2.0430156738209964
18.0,Coins related issues,11,3.0,0.375,8.571428571428571,1.1780301787479013,2.0615528128088334
19.0,Coins related issues,21,10.0,0.9090909090909091,10.571428571428571,4.3705881545081,2.3860796441812395
19.0,Other,21,12.0,1.3333333333333333,11.0,4.375255094603873,2.285581019569187
19.0,Listening related issues,10,5.0,1.0,4.571428571428571,2.5555062599997598,2.1242645786248002
21.0,Content quality & format,24,15.0,1.6666666666666667,10.714285714285714,5.749889084999459,2.310603576749783
21.0,Ads related issues,15,11.0,2.75,5.857142857142857,3.9795395077668916,2.2974661075767617
21.0,Coins related issues,37,24.0,1.8461538461538463,15.285714285714286,9.808367939298211,2.2138530944873356
21.0,Content discovery issues,5,4.0,4.0,2.142857142857143,1.355261854357877,2.1081851067789197
21.0,Listening related issues,17,15.0,7.5,6.142857142857143,5.166611805721464,2.101404801715458
23.0,Payments & Support,8,4.0,1.0,3.142857142857143,2.166535841157586,2.241893609545676
