day_index,theme,count,dod_change,dod_change_pct,rolling_mean_7,rolling_std_7,zscore_7
2.0,Ads related issues,19,,,,,
2.0,Coins related issues,26,,,,,
2.0,Content discovery issues,3,,,,,
2.0,Content quality & format,18,,,,,
2.0,Listening related issues,12,,,,,
2.0,Other,9,,,,,
2.0,Payments & Support,3,,,,,
3.0,Ads related issues,3,-16.0,-0.8421052631578947,,,
3.0,Coins related issues,9,-17.0,-0.6538461538461539,,,
3.0,Content discovery issues,1,-2.0,-0.6666666666666666,,,
3.0,Content quality & format,7,-11.0,-0.6111111111111112,,,
3.0,Listening related issues,6,-6.0,-0.5,,,
3.0,Localization & Availability,1,,,,,
3.0,Other,12,3.0,0.3333333333333333,,,
3.0,Payments & Support,2,-1.0,-0.3333333333333333,,,
4.0,Ads related issues,7,4.0,1.3333333333333333,9.666666666666666,6.79869268479038,-0.392232270276368
4.0,Coins related issues,12,3.0,0.3333333333333333,15.666666666666666,7.408703590297622,-0.49491339773243226
4.0,Content quality & format,11,4.0,0.5714285714285714,12.0,4.546060565661952,-0.21997067253202995
4.0,Listening related issues,7,1.0,0.16666666666666666,8.333333333333334,2.6246692913372702,-0.5080005080007622
4.0,Localization & Availability,1,0.0,0.0,,,
4.0,Other,10,-2.0,-0.16666666666666666,10.333333333333334,1.247219128924647,-0.2672612419124249
4.0,Payments & Support,1,-1.0,-0.5,2.0,0.816496580927726,-1.224744871391589
5.0,Ads related issues,4,-3.0,-0.42857142857142855,8.25,6.378675411086537,-0.6662825314191775
5.0,Coins related issues,9,-3.0,-0.25,14.0,7.035623639735144,-0.7106690545187014
5.0,Content discovery issues,3,2.0,2.0,2.3333333333333335,0.9428090415820634,0.7071067811865474
5.0,Content quality & format,9,-2.0,-0.18181818181818182,11.25,4.14578098794425,-0.5427204202399745
5.0,Listening related issues,6,-1.0,-0.14285714285714285,7.75,2.48746859276655,-0.7035264706814485
5.0,Other,9,-1.0,-0.1,10.0,1.2247448713915892,-0.8164965809277259
5.0,Payments & Support,2,1.0,1.0,2.0,0.7071067811865476,0.0
7.0,Ads related issues,1,-3.0,-0.75,6.8,6.4,-0.9062499999999999
8.0,Ads related issues,5,4.0,4.0,6.5,5.880759588125784,-0.25506909056931104
8.0,Coins related issues,10,1.0,0.1111111111111111,13.2,6.493073232299171,-0.4928328829069578
8.0,Content discovery issues,2,-1.0,-0.3333333333333333,2.25,0.82915619758885,-0.30151134457776363
8.0,Content quality & format,10,1.0,0.1111111111111111,11.0,3.7416573867739413,-0.2672612419124244
8.0,Listening related issues,8,2.0,0.3333333333333333,7.8,2.227105745132009,0.08980265101338752
8.0,Other,13,4.0,0.4444444444444444,10.6,1.6248076809271923,1.4770978917519928
8.0,Payments & Support,4,2.0,1.0,2.4,1.019803902718557,1.5689290811054721
9.0,Ads related issues,8,3.0,0.6,6.714285714285714,5.469768491164756,0.23505826394500656
9.0,Coins related issues,6,-4.0,-0.4,12.0,6.506407098647712,-0.9221679352414079
9.0,Content discovery issues,1,-1.0,-0.5,2.0,0.8944271909999159,-1.118033988749895
9.0,Content quality & format,9,-1.0,-0.1,10.666666666666666,3.496029493900505,-0.476731294622796
9.0,Listening related issues,3,-5.0,-0.625,7.0,2.70801280154532,-1.4770978917519928
9.0,Other,8,-5.0,-0.38461538461538464,10.166666666666666,1.7716909687891083,-1.2229371288986761
9.0,Payments & Support,1,-3.0,-0.75,2.1666666666666665,1.0671873729054748,-1.0932163332202423
10.0,Ads related issues,2,-6.0,-0.75,4.285714285714286,2.373321103690879,-0.9630868246861535
10.0,Coins related issues,12,6.0,1.0,12.0,6.023762469230862,0.0
10.0,Content discovery issues,2,1.0,1.0,2.0,0.816496580927726,0.0
10.0,Content quality & format,8,-1.0,-0.1111111111111111,10.285714285714286,3.368521749300456,-0.6785511437439771
10.0,Listening related issues,3,0.0,0.0,6.428571428571429,2.8713930346059686,-1.194044628251987
10.0,Other,10,2.0,0.25,10.142857142857142,1.6413036132965795,-0.08703882797784862
10.0,Payments & Support,2,1.0,1.0,2.142857142857143,0.989743318610787,-0.14433756729740638
11.0,Ads related issues,5,3.0,1.5,4.571428571428571,2.321153829895989,0.18463723646899918
11.0,Coins related issues,7,-5.0,-0.4166666666666667,9.285714285714286,2.118913853455903,-1.078719779941188
11.0,Content quality & format,7,-1.0,-0.125,8.714285714285714,1.3850513878332351,-1.237705495510553
11.0,Listening related issues,3,0.0,0.0,5.142857142857143,1.9587584572574412,-1.0939874362342092
11.0,Other,6,-4.0,-0.4,9.714285714285714,2.1852940772540506,-1.6996731711975948
11.0,Payments & Support,6,4.0,2.0,2.5714285714285716,1.6781914463529615,2.0430156738209964
12.0,Ads related issues,5,0.0,0.0,4.285714285714286,2.1189138534559038,0.3370999312316211
12.0,Coins related issues,8,1.0,0.14285714285714285,9.142857142857142,2.166535841157585,-0.5275043787166296
12.0,Content quality & format,7,0.0,0.0,8.714285714285714,1.3850513878332351,-1.237705495510553
12.0,Listening related issues,5,2.0,0.6666666666666666,5.0,1.927248223318863,0.0
12.0,Other,11,5.0,0.8333333333333334,9.571428571428571,2.060315014550851,0.6933752452815366
13.0,Ads related issues,3,-2.0,-0.4,4.142857142857143,2.166535841157586,-0.5275043787166298
13.0,Coins related issues,9,1.0,0.125,8.714285714285714,1.8294640678379557,0.15617376188860657
13.0,Content quality & format,2,-5.0,-0.7142857142857143,7.428571428571429,2.441143927233579,-2.223781796726482
13.0,Listening related issues,3,-2.0,-0.4,4.428571428571429,1.840585532389304,-0.7761505257063329
13.0,Other,11,0.0,0.0,9.714285714285714,2.1189138534559033,0.6067798762169183
15.0,Ads related issues,2,-1.0,-0.3333333333333333,4.285714285714286,1.9794866372215745,-1.1547005383792512
15.0,Coins related issues,9,0.0,0.0,8.714285714285714,1.8294640678379557,0.15617376188860657
15.0,Content discovery issues,2,0.0,0.0,2.0,0.7559289460184544,0.0
15.0,Content quality & format,6,4.0,2.0,7.0,2.390457218668786,-0.41833001326703806
15.0,Listening related issues,4,1.0,0.3333333333333333,4.142857142857143,1.7261494247992248,-0.082760588860237
15.0,Other,6,-5.0,-0.45454545454545453,9.285714285714286,2.490799396308956,-1.3191404697557307
15.0,Payments & Support,1,-5.0,-0.8333333333333334,2.4285714285714284,1.761261143705422,-0.8111071056538125
16.0,Ads related issues,5,3.0,1.5,4.285714285714286,1.9794866372215745,0.3608439182435161
16.0,Coins related issues,8,-1.0,-0.1111111111111111,8.428571428571429,1.7612611437054206,-0.24333213169614412
16.0,Content discovery issues,2,0.0,0.0,1.8571428571428572,0.6388765649999398,0.2236067977499789
16.0,Content quality & format,9,3.0,0.5,6.857142857142857,2.2314999074018993,0.9602765994967208
16.0,Listening related issues,1,-3.0,-0.75,3.142857142857143,1.1248582677159737,-1.9050019050028562
16.0,Other,9,3.0,0.5,8.714285714285714,1.9794866372215734,0.14433756729740688
16.0,Payments & Support,2,1.0,1.0,2.5714285714285716,1.6781914463529615,-0.34050261230349954
17.0,Ads related issues,4,-1.0,-0.2,3.7142857142857144,1.27775312999988,0.22360679774997883
17.0,Coins related issues,8,0.0,0.0,8.714285714285714,1.484614977916179,-0.4811252243246881
17.0,Content discovery issues,1,-1.0,-0.5,1.8571428571428572,0.6388765649999398,-1.341640786499874
17.0,Content quality & format,9,0.0,0.0,6.857142857142857,2.2314999074018993,0.9602765994967208
17.0,Listening related issues,4,3.0,3.0,3.2857142857142856,1.160576914947995,0.6154574548966635
