day_index,theme,count,dod_change,dod_change_pct,rolling_mean_7,rolling_std_7,zscore_7
1.0,Ads related issues,17,,,,,
1.0,Coins related issues,57,,,,,
1.0,Content discovery issues,16,,,,,
1.0,Content quality & format,43,,,,,
1.0,Listening related issues,14,,,,,
1.0,Other,47,,,,,
1.0,Payments & Support,6,,,,,
2.0,Ads related issues,41,24.0,1.411764705882353,,,
2.0,Coins related issues,133,76.0,1.3333333333333333,,,
2.0,Content discovery issues,22,6.0,0.375,,,
2.0,Content quality & format,84,41.0,0.9534883720930233,,,
2.0,Listening related issues,23,9.0,0.6428571428571429,,,
2.0,Localization & Availability,1,,,,,
2.0,Other,44,-3.0,-0.06382978723404255,,,
2.0,Payments & Support,11,5.0,0.8333333333333334,,,
