day,category,count,average,z_score,increase_pct
1,Ads Related Issues,1,0.12,2.59,764.00
5,Ads Related Issues,1,0.12,2.59,764.00
8,Ads Related Issues,1,0.12,2.59,764.00
9,Ads Related Issues,1,0.12,2.59,764.00
28,Ads Related Issues,1,0.12,2.59,764.00
30,Ads Related Issues,1,0.12,2.59,764.00
77,Ads Related Issues,1,0.12,2.59,764.00
82,Ads Related Issues,1,0.12,2.59,764.00
116,Ads Related Issues,1,0.12,2.59,764.00
122,Ads Related Issues,1,0.12,2.59,764.00
128,Ads Related Issues,1,0.12,2.59,764.00
130,Ads Related Issues,1,0.12,2.59,764.00
171,Ads Related Issues,1,0.12,2.59,764.00
181,Ads Related Issues,1,0.12,2.59,764.00
182,Ads Related Issues,1,0.12,2.59,764.00
201,Ads Related Issues,1,0.12,2.59,764.00
205,Ads Related Issues,1,0.12,2.59,764.00
233,Ads Related Issues,1,0.12,2.59,764.00
304,Ads Related Issues,1,0.12,2.59,764.00
307,Ads Related Issues,1,0.12,2.59,764.00
340,Ads Related Issues,1,0.12,2.59,764.00
380,Ads Related Issues,1,0.12,2.59,764.00
383,Ads Related Issues,1,0.12,2.59,764.00
384,Ads Related Issues,1,0.12,2.59,764.00
389,Ads Related Issues,1,0.12,2.59,764.00
417,Ads Related Issues,1,0.12,2.59,764.00
428,Ads Related Issues,1,0.12,2.59,764.00
470,Ads Related Issues,2,0.12,5.53,1628.00
485,Ads Related Issues,2,0.12,5.53,1628.00
486,Ads Related Issues,1,0.12,2.59,764.00
503,Ads Related Issues,1,0.12,2.59,764.00
508,Ads Related Issues,1,0.12,2.59,764.00
521,Ads Related Issues,1,0.12,2.59,764.00
522,Ads Related Issues,1,0.12,2.59,764.00
551,Ads Related Issues,1,0.12,2.59,764.00
559,Ads Related Issues,1,0.12,2.59,764.00
583,Ads Related Issues,1,0.12,2.59,764.00
584,Ads Related Issues,2,0.12,5.53,1628.00
619,Ads Related Issues,1,0.12,2.59,764.00
667,Ads Related Issues,1,0.12,2.59,764.00
670,Ads Related Issues,1,0.12,2.59,764.00
677,Ads Related Issues,1,0.12,2.59,764.00
678,Ads Related Issues,1,0.12,2.59,764.00
681,Ads Related Issues,1,0.12,2.59,764.00
