day,category,count
0,Listening Related Issues,1
0,Ads Related Issues,0
0,Coins Related Issues,0
0,Content Discovery Issues,0
0,Content Quality Issues,0
0,User Experience Issues,0
0,Support & Service Issues,0
0,Localization Issues,0
1,Ads Related Issues,1
1,Coins Related Issues,0
1,Content Discovery Issues,0
1,Listening Related Issues,0
1,Content Quality Issues,0
1,User Experience Issues,0
1,Support & Service Issues,0
1,Localization Issues,0
2,Coins Related Issues,1
2,Ads Related Issues,0
2,Content Discovery Issues,0
2,Listening Related Issues,0
2,Content Quality Issues,0
2,User Experience Issues,0
2,Support & Service Issues,0
2,Localization Issues,0
4,Coins Related Issues,1
4,Ads Related Issues,0
4,Content Discovery Issues,0
4,Listening Related Issues,0
4,Content Quality Issues,0
4,User Experience Issues,0
4,Support & Service Issues,0
4,Localization Issues,0
5,Ads Related Issues,1
5,User Experience Issues,3
5,Coins Related Issues,0
5,Content Discovery Issues,0
5,Listening Related Issues,0
5,Content Quality Issues,0
5,Support & Service Issues,0
5,Localization Issues,0
6,User Experience Issues,1
6,Ads Related Issues,0
6,Coins Related Issues,0
6,Content Discovery Issues,0
6,Listening Related Issues,0
6,Content Quality Issues,0
6,Support & Service Issues,0
6,Localization Issues,0
8,Coins Related Issues,3
8,User Experience Issues,1
8,Ads Related Issues,1
8,Content Discovery Issues,0
8,Listening Related Issues,0
8,Content Quality Issues,0
8,Support & Service Issues,0
8,Localization Issues,0
9,Ads Related Issues,1
9,Listening Related Issues,2
9,User Experience Issues,1
9,Coins Related Issues,0
9,Content Discovery Issues,0
9,Content Quality Issues,0
9,Support & Service Issues,0
9,Localization Issues,0
10,Coins Related Issues,1
10,Ads Related Issues,0
10,Content Discovery Issues,0
10,Listening Related Issues,0
10,Content Quality Issues,0
10,User Experience Issues,0
10,Support & Service Issues,0
10,Localization Issues,0
11,Coins Related Issues,2
11,Listening Related Issues,1
11,User Experience Issues,1
11,Ads Related Issues,0
11,Content Discovery Issues,0
11,Content Quality Issues,0
11,Support & Service Issues,0
11,Localization Issues,0
16,User Experience Issues,1
16,Ads Related Issues,0
16,Coins Related Issues,0
16,Content Discovery Issues,0
16,Listening Related Issues,0
