timestamp,day,reviewer,stars,text,platform
12:26,0,Kev Pick,1,complete and total garbage. of all the ads I wish I could eliminate this is the worst. don't let your kids download either.,Android
12:26,0,Aniket Singh,2,no real picture show,Android
1:31,1,blacksmith,1,videos are nothing like that on Facebook ads. uninstalled,Android
1:31,1,Ofelia Sanchez,1,"nada que ver lo de Facebook con la app totalmente diferente tratándose según de la misma historia ""Facebook has nothing to do with the app, which is completely different, and it is, according to some, the same story.",Android
4:01,2,Rusty Buckets,1,"Interesting story, but the cost is absolutely ridiculous. I've spent almost $300 in 3 weeks, I'm only on episode 278 of 450, and they're writing more so it's an unending story. A giant money pit. It keeps switching me to other stories I'm not interested in, probably taking my coins. As soon as the rest of my coins are used I'll be deleting this app. Do yourself a favor and don't install it. Go buy yourself 30 paperbacks for $300.",Android
5:31,3,GOĐZILLA,1,tried to charge me without my knowledge.,Android
5:31,3,Mani Kandan,1,good app,Android
6:01,4,Ben Newbold,1,expensive,Android
7:01,5,Aaron Jones,1,long forced ads can't even start or resume without 2 minutes of ads. leave the page by accident another 2min of ads. this got annoying quickly thanks for the update. The stories are great and fun to listen to for hours. I listen to multiple everyday. Negative: The episodes unlock very slowly and it will take a year or so to finish.,Android
7:31,6,Evilvic,1,like the app but since the last update it hasn't open any new story books off home page,Android
8:31,7,Yogesh Pawar,1,Waste app only audio not a episode on screen,Android
8:31,7,William Taylor,1,you watch adds to listen to stories but they do t let you listen to all the stories per adds that you listen to,Android
10:01,8,Rich Man,1,"Excellent story! Captivating! BUT way, way, way EXPENSIVE! I don't know how many hundreds of $$ I've dumped into it but it still has lots of story to go. Also, you have to buy coins if you want to hear more episodes now instead of waiting for future freebies. I can't get an answer as to how many minutes of listening you get for x-amount of coins, but it isn't much. This is a great money-making machine for whoever runs Pocket FM.",Android
10:01,8,Blade Cobo,1,"Es mas falsa que el te quiero de un padrastro, la historia que te meten en el anuncio no tiene nada que ver con la historia de la Aplicación, luego pasa a tener 1000 y picó capitulos, nada recomendable, por el hecho de mentir"" ""It's more fake than a stepfather's """"I love you."""" The story they put in the ad has nothing to do with the story of the application. Then it goes on to have 1000 and a few chapters, not at all recommended, because of the lie.",Android
10:01,8,Henrik Rasmussen,2,"5*! Jeg tror det er første gang! Edit: 3* Nå... Så ramte virkeligheden. en historie jeg er blevet bidt af er nu nået til omkring episode 60-70, og nu melder betalingen sig. der er ikke mulighed for at få et fast abonnement. På den måde vil det blive dyrere end enhver streaming-tjeneste. Hvor er det en skam. Jeg kan dog herfra høre 2 gratis afsnit per døgn på 5-10 min. Men der er 2200 afsnit!! Edit 2: 2* Ser man reklamer en gang, får man fremover kun et gratis afsnit per dag."" ""5*! I think it's the first time! Edit: 3* Well... Then reality hit. a story I've been hooked on has now reached around episode 60-70, and now the payment is due. there is no option to get a fixed subscription. That way it will be more expensive than any streaming service. What a shame. However, I can hear 2 free episodes per day of 5-10 min. But there are 2200 episodes!! Edit 2: 2* If you watch ads once, you will only get one free episode per day from now on.",Android
10:31,9,Tommy Lewis,2,500 Ep's in & you get notifications about skipping Ep's to find it starting between Ep's 10-50 forcing you to scroll 100s to get where it left off. unrealistic token value. Uses tokens without asking. 20+ ads to unlock 2-3 Ep's is ridiculous. Having 2 ads in place of 1 is dishonest. Ad's auto open to store or you have to close the same ad 2-3 times. X is deliberately smaller than appears so you open links instead of closing ads. Ads for PocketFM on other apps intentionally missrepresent stories.,Android
10:31,9,Brandon,1,"The app has had a bug for awhile, they dont fix it even if they update.",Android
11:35,10,Mark Woody,1,"ich wollte mir eine Geschichte anhören - fast 300 Episoden, die ersten kostenlos. Wenn ich jetzt aber die gesamte Geschichte hören will, benötige ich ca. 2400 Coins, was umgerechnet - mit """"200% Rabatt"""" - 99,99€ sind ... Also 100€ für ein Hörbuch ist doch schon etwas übertrieben! Darum nur ein Stern...."" ""I wanted to listen to a story – almost 300 episodes, the first ones free. But if I want to hear the entire story, I need about 2400 coins, which – with a """"200% discount"""" – is €99.99... So €100 for an audiobook is a bit excessive! That's why only one star...",Android
12:01,11,Billie Light (Pagan),1,To Expensive,Android
12:01,11,Alex vdD,1,"Die Herausgeber der App bekommen echt den Hals nicht voll... Mit jedem Update wird es schlimmer, was man erledigen muss um neue Folgen frei zu schalten. Warum nicht einfach ein monatliches Abo Modell und man kann so viel hören wie man möchte? -Nein, lieber ganz viele Micro Transaktion oder dumme Abzocke mit Werbung schauen oder Apps herunterladen und spielen um Coins frei zu schalten."" ""The app's publishers really can't get enough... With every update, the amount of work you have to do to unlock new episodes gets worse. Why not just have a monthly subscription model so you can listen to as much as you want? -No, I'd rather have lots of microtransactions or stupid rip-offs with ads, or download and play apps to unlock coins.",Android
1:01,12,K.DURAI MURUGAN,1,worth less don't vast money,Android
4:01,16,Rachel King,2,At first it was a great app. But here recently when you watch commercials. To build up your coins. They have started taking them back. Yesterday I had 28 coins but this morning. I'm down to 7. But I haven't listened to a story all week. Because I was trying to build up some coins. Now I see that's a waste. I thought that was happening. But I wasn't sure. But now I'm 1000% sure.,Android
4:31,17,audvikreddy.k lkg,1,"False and Promise – Misleading, Frustrating, and FAKE I downloaded PocketFM after seeing an ad that clearly claimed the entire series was free. That was a blatant lie. After just a few episodes, the app demanded payment or coins to continue. This is classic bait-and-switch—misleading users just to boost downloads. To make matters worse, many of the stories seem copied from English originals and simply repackaged as audio content. There’s",Android
4:31,17,Jarno L,2,way too expensive. add some sort of monthly sub.,Android
5:31,18,munazahh-,1,I don't like this,Android
5:31,18,Fantasy Novel,1,app just updated so you can't unlock episodes with adds anymore. I hope you have years to wait for the end of a series.,Android
