timestamp,app,rating_info,stars,reviewer,review_text
12:26,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Kev Pick · Negative,1,Kev Pick,complete and total garbage. of all the ads I wish I could eliminate this is the worst. don't let your kids download either.
7:01,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Aaron Jones · Negative,1,Aaron Jones,long forced ads can't even start or resume without 2 minutes of ads. leave the page by accident another 2min of ads. this got annoying quickly thanks for the update. The stories are great and fun to listen to for hours. I listen to multiple everyday. Negative: The episodes unlock very slowly and it will take a year or so to finish.
8:31,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Yogesh Pawar · Negative,1,Yogesh Pawar,Waste app only audio not a episode on screen
10:31,Pocket FM: Audio Series (Google Play),★★☆☆☆ · by Tommy Lewis · Negative,2,Tommy Lewis,500 Ep's in & you get notifications about skipping Ep's to find it starting between Ep's 10-50 forcing you to scroll 100s to get where it left off. unrealistic token value. Uses tokens without asking. 20+ ads to unlock 2-3 Ep's is ridiculous. Having 2 ads in place of 1 is dishonest. Ad's auto open to store or you have to close the same ad 2-3 times. X is deliberately smaller than appears so you open links instead of closing ads. Ads for PocketFM on other apps intentionally missrepresent stories.
10:31,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Brandon · Negative,1,Brandon,"""The app has had a bug for awhile, they dont fix it even if they update."""
12:01,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Alex vdD · Negative,1,Alex vdD,"""The app's publishers really can't get enough... With every update, the amount of work you have to do to unlock new episodes gets worse. Why not just have a monthly subscription model so you can listen to as much as you want? -No, I'd rather have lots of microtransactions or stupid rip-offs with ads, or download and play apps to unlock coins."""
4:31,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by audvikreddy.k lkg · Negative,1,audvikreddy.k lkg,"""False and Promise – Misleading, Frustrating, and FAKE I downloaded PocketFM after seeing an ad that clearly claimed the entire series was free. That was a blatant lie. After just a few episodes, the app demanded payment or coins to continue. This is classic bait-and-switch—misleading users just to boost downloads. To make matters worse, many of the stories seem copied from English originals and simply repackaged as audio content. There’s"""
5:31,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Guest · Negative,1,Guest,"""Rise's archive of AI-generated stories. Videos and narration are all AI. I can live with that, as I only listen to it as an audiobook. Occasional inconsistencies in the plot and characters. I use the app for free and am happy to put up with 20 ads while I do the dishes. No one watches them, I hope. It's annoying, though, when two ads are shown in a competition block. In the end, it's not 20 ads, but 30, and that's just not acceptable."""
8:34,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Heidi Feldman · Negative,1,Heidi Feldman,Downloaded just to delete it and very disappointed. Very sad the story changes from what you originally watch before downloading the app. The stories suck once you download and start listening to them.
11:33,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by J. Jester · Negative,1,J. Jester,At first i loved it! was absorbed into one book but after a few changes and updates to the app and how it works its garbage. ive been waiting weeks for my daily unlock timer that restarts when it reachs 0 and only coins work to unlock...im not spending 50 bucks on 3 hours (in 7 min episodes) of a book when audible gives me a whole novel (26 hours average) for 18 bucks ive now lost all intrest in the book (sadly) and the app. charging 1k for coins to unlock a book.... disgusting
1:01,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Amritlal Maurya · Negative,1,Amritlal Maurya,Audio just buffering. Cleared the cache too. Why is this happening
1:01,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Purple Dragon · Negative,1,Purple Dragon,DO NOT DOWNLOAD!! THEY CHEAT U OUT OF COINS AND REPEAT EPISODES WASTING URE COINS...
1:01,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by American Pride3 · Negative,1,American Pride3,So apparently if you start a story over it goes crazy jumping back and forth between chapters. What is wrong with the IT employee's that you have that you can't get a simple story app to work correctly. Fix immediately. Thank you
8:32,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Chris Reeme · Negative,1,Chris Reeme,I love listening to this daily however the offers to complete task for coins is becoming more of a SCAM when they claim that they can't validate things just to get out of rewarding you for completing tasks. and yes they were on games that I have never played as well as they were downloaded through the offer page in the pocket FM app. the partners still want to claim that they can validate it even after I have provided screenshots of proof of completion. Do better POCKET FM.
9:00,Pocket FM: Audio Series (Google Play),★☆☆☆☆ · by Athena cortez · Negative,1,Athena cortez,"""So, frustrating you can't add another account once you download the app. There is no way of contact someone for help. The instructions they give you are so vague."""
