day_index,week_bucket,week_label,line_index,reviewer,rating,sentiment,language,categories,subcategories,review_text
1,1,Week 1,5,Wolverine3085,5,Positive,,Content & UX;Payments & Support,AI voices / quality;Support unresponsive,The app is good but the support is very terrible The support is very terrible. They won’t reply or attend to ur queries or problems. This is one of the worst ever customer support I’ve ever encountered. My unlocked episode got locked again. When I reported no action was taken till I have to repurchase the same episodes.  The stories are good but the support is the worst.
1,1,Week 1,12,BIG WES DAWG,5,Positive,,,,WesDawg
1,1,Week 1,18,Bottos76,3,Neutral,,,,Not to bad I like this app except I wish I had more photos to go along. Also don’t know why but it keeps taking me back to episode one when I’m on episode 300 plus.
1,1,Week 1,25,CoDfam,5,Positive,,,,Exciting and thrilling I started listening to pocket fm 1 month ago and may I say my vampire system it is very amazing. This book needs to be animated or turned into a live action series.
1,1,Week 1,32,Barrister KK,5,Positive,,,,My wonderful experience with pocket Fm It is full with  a rhythm for lovers of stories.
1,1,Week 1,39,Jsaher,4,Positive,,Monetization & Pricing,Subscription needed / request,Good but has a few flaws The stories are nice some of them just drag on too long and have no direction or they lose direction. Sometimes stories which are really interesting and abruptly especially the one about the princess Dr Princess. About Eleanor and James it was such a beautiful story and they just abruptly ended it so I like the app and I can continue to listen to some of the stories but there’s needs to be some sort of comprehensive ending and beginning story track lines.
1,1,Week 1,46,Tshego TS,1,Negative,,,,The bad experience I heard Someone stole my information because of this app and I would not recommend this app at all it highly unsafe
1,1,Week 1,53,vikas_p,5,Positive,,Monetization & Pricing,Subscription needed / request,Good app - Unable to activate premium subscription Help me activate premium subscription
1,1,Week 1,60,Demillax,5,Positive,,,,Good app Good app
1,1,Week 1,67,D1ABLO_6,5,Positive,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,Captivating stories The stories are truly captivating. You'd love to listen for longer without having to buy coins. It's a shame you can't buy the entire book in one go or subscribe.
1,1,Week 1,79,Cvhhrdfhjxfgh,5,Positive,,Content & UX,AI voices / quality,Great stories! Love the stories and great voices. Only to bad that after seeing all those advertising or paying for episodes to unluck them you also have extra advertise between episodes. Too bad!
1,1,Week 1,86,Devil666-666,4,Positive,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,"Stop auto stop next series ""I wish there was a way stop playing a different in the audiobook. Oh you don’t have enough coin to finish this. Let’s play a Totally different one people say there’s a way, but I don’t see it I wish it would just end. It won’t play nothing else, but I can’t find it and I wish they would add one that won’t  play a different audio series listen that one. I don’t wanna listen to this one a.k.a. don’t care about any other audio service at this time. well, I hope you can understand what I’m saying. I’m not very good at this if there is a way. To do what I’m asking. Please let me know so I can do. It would be nice if there’s a guide that shows me how if there is a way."""
1,1,Week 1,93,Sassy girl 1954,5,Positive,,Content & UX,Visual vs audio expectation,"Good app to use’ ""This is a really good app to have in your phone, especially if you like listening to stories in the evening before you go to sleep. The only problem I have is the pictures. They need to be updated and they need to match the words with the people. Please fix this."""
